name,category,upstream,environment,priority,strategy,capabilities,notes
Proxmox VE,Compute,yes,existing-upstream,P0,migrate,"health,inventory,metrics,search",Final upstream README integration; preserve existing functionality during capability migration.
Portainer,Containers,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
TrueNAS,Storage,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Uptime Kuma,Monitoring,yes,existing-upstream,P0,migrate,"health,inventory,metrics,search",Final upstream README integration; preserve existing functionality during capability migration.
Dockhand,Containers,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
DockMon,Containers,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Beszel,Monitoring,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Komodo,Containers,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Linux Update,Operations,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Gitea / Forgejo,DevOps,yes,existing-upstream,P0,migrate,"health,inventory,metrics,search",Final upstream README integration; preserve existing functionality during capability migration.
Healthchecks,Monitoring,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
PatchMon,Operations,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Pi-hole,Network,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
AdGuard Home,Network,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Ubiquiti / UniFi,Network,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Technitium DNS,Network,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Maltrail,Security,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Nginx Proxy Manager / NPMplus,Network,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Plex,Media,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Jellyfin,Media,no,legacy/source-observed,P2,migrate,provider-specific,Preserve existing functionality during capability migration. Source-observed/previously catalogued but not part of final README 34.
Sonarr,Media,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Radarr,Media,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Lidarr,Media,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Prowlarr,Media,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
qBittorrent,Media,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Jellyseerr,Media,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Bazarr,Media,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Gluetun,Network,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
FlareSolverr,Utility,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
Crafty Controller,Gaming,yes,existing-upstream,P2,migrate,provider-specific,Final upstream README integration; preserve existing functionality during capability migration.
